source,target,string_score
EHMT1,CBX1,0.698
EHMT1,SIN3A,0.404
EHMT1,KDM5A,0.477
EHMT1,KDM1A,0.774
EHMT1,CECR2,0.404
EHMT1,SETD5,0.44
EHMT1,MBD5,0.611
EHMT1,KDM3A,0.514
EHMT1,KMT2A,0.425
EHMT1,SMARCC2,0.429
EHMT1,DLGAP2,0.442
EHMT1,KDM2A,0.536
EHMT1,CHD8,0.551
WDR5,ACTL6B,0.608
WDR5,TAF4,0.921
WDR5,PER2,0.467
WDR5,H3-3B,0.999
WDR5,KDM6B,0.954
WDR5,EPC2,0.724
WDR5,THBS1,0.466
WDR5,KMT2C,0.999
WDR5,YY1,0.743
WDR5,CREBBP,0.486
WDR5,EP300,0.896
WDR5,KAT2B,0.993
WDR5,DNMT3A,0.614
WDR5,KAT6A,0.734
WDR5,SETDB1,0.527
WDR5,KDM1B,0.633
WDR5,KMT2D,0.999
WDR5,SF3B3,0.591
WDR5,YEATS2,0.991
WDR5,BPTF,0.766
WDR5,MSL2,0.783
WDR5,MSL3,0.816
WDR5,KMT2E,0.628
WDR5,PER1,0.426
WDR5,NCL,0.497
WDR5,TNRC6C,0.474
WDR5,RERE,0.811
WDR5,HUWE1,0.465
WDR5,JARID2,0.423
WDR5,SMARCA4,0.72
WDR5,H4C11,0.831
WDR5,DYNC1H1,0.449
WDR5,PHF8,0.695
WDR5,FOXP1,0.401
WDR5,ADNP,0.411
WDR5,TNRC6B,0.416
WDR5,CTNNB1,0.434
WDR5,KDM2A,0.438
WDR5,CBX1,0.444
WDR5,AGO4,0.461
WDR5,AGO3,0.476
WDR5,KDM5A,0.476
WDR5,HOXA1,0.499
WDR5,HNRNPK,0.518
WDR5,KDM4C,0.551
WDR5,MBD3,0.556
WDR5,DYDC1,0.577
WDR5,POLR2A,0.589
WDR5,DYDC2,0.6
WDR5,SIN3B,0.631
WDR5,SMARCA1,0.656
WDR5,CHD1,0.661
WDR5,KDM2B,0.669
WDR5,CHD7,0.67
WDR5,SIN3A,0.73
WDR5,KDM1A,0.736
WDR5,EP400,0.803
WDR5,H4C5,0.831
WDR5,H4C3,0.832
WDR5,CUL4B,0.837
WDR5,CTCF,0.848
WDR5,TRRAP,0.881
WDR5,TAF6,0.925
WDR5,LAS1L,0.94
WDR5,TAF1,0.942
WDR5,CHD8,0.992
WDR5,KANSL1,0.999
WDR5,SETD1B,0.999
WDR5,KMT2A,0.999
WDR5,KDM6A,0.999
PHF2,H3-3B,0.413
PHF2,KDM6B,0.488
PHF2,SETDB1,0.408
PHF2,KDM1B,0.513
PHF2,KMT5B,0.441
PHF2,KDM3B,0.701
PHF2,PHF8,0.512
PHF2,KDM6A,0.425
PHF2,KDM4C,0.434
PHF2,SETD1B,0.46
PHF2,KDM1A,0.468
PHF2,JMJD1C,0.473
PHF2,KDM5A,0.496
PHF2,KDM3A,0.684
KMT2C,GSE1,0.426
KMT2C,H3-3B,0.919
KMT2C,KDM6B,0.872
KMT2C,THBS1,0.45
KMT2C,MBD5,0.403
KMT2C,PTPRD,0.413
KMT2C,BIRC6,0.413
KMT2C,SETD5,0.417
KMT2C,MED13L,0.428
KMT2C,CHD7,0.428
KMT2C,ANKRD11,0.433
KMT2C,BPTF,0.434
KMT2C,CSMD3,0.44
KMT2C,AGO4,0.441
KMT2C,SMARCA2,0.441
KMT2C,CTNNB1,0.447
KMT2C,AKAP9,0.448
KMT2C,GNAS,0.448
KMT2C,KDM2B,0.449
KMT2C,CHD1,0.452
KMT2C,SET,0.454
KMT2C,EP400,0.465
KMT2C,AGO3,0.468
KMT2C,ZFHX4,0.481
KMT2C,TNRC6C,0.49
KMT2C,TTN,0.504
KMT2C,HOXA1,0.505
KMT2C,FOXP1,0.508
KMT2C,TNRC6B,0.519
KMT2C,ASXL3,0.519
KMT2C,CHD8,0.521
KMT2C,KDM2A,0.523
KMT2C,SYNE1,0.525
KMT2C,KDM1B,0.527
KMT2C,KDM1A,0.528
KMT2C,NOTCH1,0.531
KMT2C,SMAD4,0.534
KMT2C,PAX5,0.541
KMT2C,KMT5B,0.541
KMT2C,SIN3B,0.557
KMT2C,DNMT3A,0.563
KMT2C,POLR2A,0.581
KMT2C,SRCAP,0.582
KMT2C,FAT1,0.587
KMT2C,ZFHX3,0.587
KMT2C,SPEN,0.596
KMT2C,SMARCA4,0.615
KMT2C,TET2,0.621
KMT2C,NIPBL,0.624
KMT2C,KAT2B,0.629
KMT2C,ZMYM3,0.631
KMT2C,SIN3A,0.639
KMT2C,JMJD1C,0.657
KMT2C,ARID2,0.671
KMT2C,CTCF,0.697
KMT2C,ATRX,0.743
KMT2C,KMT2E,0.753
KMT2C,ARID1B,0.757
KMT2C,CREBBP,0.822
KMT2C,ARID1A,0.823
KMT2C,H4C5,0.855
KMT2C,H4C11,0.855
KMT2C,H4C3,0.855
KMT2C,EP300,0.884
KMT2C,KMT2A,0.947
KMT2C,SETD1B,0.976
KMT2C,KMT2D,0.998
KMT2C,KDM6A,0.999
SETDB1,YTHDC2,0.449
SETDB1,AGO2,0.57
SETDB1,H3-3B,0.982
SETDB1,KDM6B,0.639
SETDB1,YY1,0.616
SETDB1,CREBBP,0.582
SETDB1,EP300,0.529
SETDB1,KAT2B,0.478
SETDB1,HDAC4,0.427
SETDB1,DNMT3A,0.996
SETDB1,NTRK3,0.401
SETDB1,POGZ,0.415
SETDB1,CHD1,0.419
SETDB1,KMT2E,0.42
SETDB1,TCF12,0.421
SETDB1,CPSF7,0.424
SETDB1,POLR2A,0.433
SETDB1,SETD5,0.44
SETDB1,PHF12,0.449
SETDB1,TLK2,0.457
SETDB1,TET3,0.461
SETDB1,KDM3A,0.466
SETDB1,CHD8,0.493
SETDB1,SMARCA4,0.502
SETDB1,DDX23,0.503
SETDB1,LEO1,0.509
SETDB1,KDM1B,0.524
SETDB1,KDM5A,0.529
SETDB1,KDM4C,0.53
SETDB1,KDM2A,0.538
SETDB1,TET2,0.539
SETDB1,DEPDC5,0.544
SETDB1,NOTCH1,0.552
SETDB1,SIN3B,0.558
SETDB1,CTR9,0.559
SETDB1,HNRNPK,0.572
SETDB1,KDM2B,0.604
SETDB1,KDM6A,0.611
SETDB1,KDM3B,0.614
SETDB1,PHF8,0.621
SETDB1,CTCF,0.623
SETDB1,TAF1,0.648
SETDB1,SIN3A,0.705
SETDB1,KDM1A,0.765
SETDB1,CHD3,0.779
SETDB1,JARID2,0.784
SETDB1,ATRX,0.786
SETDB1,KMT5B,0.818
SETDB1,ERG,0.841
SETDB1,CBX1,0.851
SETDB1,MBD1,0.853
JARID2,H3-3B,0.938
JARID2,KDM6B,0.627
JARID2,EPC2,0.418
JARID2,YY1,0.627
JARID2,SMG6,0.471
JARID2,EP300,0.415
JARID2,DNMT3A,0.715
JARID2,KAT6A,0.402
JARID2,ASXL3,0.407
JARID2,CBX4,0.736
JARID2,KDM1B,0.451
JARID2,BPTF,0.507
JARID2,ARID1A,0.44
JARID2,PHF8,0.4
JARID2,MYOCD,0.4
JARID2,JMJD1C,0.401
JARID2,HMGN1,0.408
JARID2,CASZ1,0.415
JARID2,PAX5,0.417
JARID2,RPL10,0.427
JARID2,CUL7,0.433
JARID2,SETD1B,0.436
JARID2,UBAP2L,0.47
JARID2,POLR3A,0.474
JARID2,SMARCA4,0.482
JARID2,KDM2A,0.507
JARID2,KDM3A,0.514
JARID2,KDM6A,0.549
JARID2,KDM1A,0.56
JARID2,CTCF,0.594
JARID2,ESRRB,0.632
JARID2,KDM2B,0.78
KDM1B,H3-3B,0.726
KDM1B,KDM6B,0.591
KDM1B,DNMT3A,0.446
KDM1B,SETDB2,0.415
KDM1B,BCKDK,0.431
KDM1B,PDK2,0.431
KDM1B,JMJD1C,0.441
KDM1B,TET3,0.443
KDM1B,BPTF,0.457
KDM1B,SETD1B,0.464
KDM1B,KDM3B,0.489
KDM1B,SMARCA1,0.502
KDM1B,KDM2A,0.548
KDM1B,PHF8,0.565
KDM1B,KDM2B,0.617
KDM1B,KDM5A,0.632
KDM1B,PHF21A,0.668
KDM1B,KDM6A,0.696
KDM1B,KDM4C,0.712
KDM1B,MBD6,0.733
KDM1B,KDM3A,0.747
KDM1B,MBD5,0.808
KDM1B,KDM1A,0.812
SF3B3,HNRNPL,0.473
SF3B3,PRPF19,0.998
SF3B3,TAF4,0.686
SF3B3,SRSF1,0.941
SF3B3,MCM4,0.427
SF3B3,EP300,0.429
SF3B3,KAT2B,0.929
SF3B3,UPF3B,0.444
SF3B3,SRRM2,0.994
SF3B3,CHD3,0.404
SF3B3,METTL14,0.413
SF3B3,ILF2,0.429
SF3B3,HNRNPF,0.431
SF3B3,HNRNPH2,0.501
SF3B3,UBE3A,0.521
SF3B3,EIF4G1,0.524
SF3B3,PHB,0.535
SF3B3,DHX30,0.585
SF3B3,SMC1A,0.608
SF3B3,WAC,0.614
SF3B3,SYNCRIP,0.615
SF3B3,HNRNPU,0.617
SF3B3,HNRNPR,0.634
SF3B3,YEATS2,0.638
SF3B3,PRPF39,0.64
SF3B3,TAF6,0.697
SF3B3,DHX9,0.73
SF3B3,SF1,0.808
SF3B3,DDX23,0.923
SF3B3,TRRAP,0.947
SF3B3,PUF60,0.971
SF3B3,HNRNPK,0.971
SF3B3,U2AF2,0.998
SF3B3,SF3B1,0.999
SF3B3,PRPF8,0.999
PHF8,H3-3B,0.985
PHF8,KDM6B,0.655
PHF8,NCAPH2,0.529
PHF8,KMT5B,0.542
PHF8,ZBTB7A,0.437
PHF8,KDM3B,0.759
PHF8,PHF12,0.536
PHF8,HUWE1,0.51
PHF8,SMARCA4,0.468
PHF8,WNK3,0.766
PHF8,TRIP12,0.406
PHF8,HDAC8,0.406
PHF8,KDM2A,0.412
PHF8,SIN3A,0.418
PHF8,PHF21A,0.437
PHF8,CBX1,0.449
PHF8,CHD8,0.455
PHF8,CTCF,0.471
PHF8,FRYL,0.553
PHF8,SETD1B,0.583
PHF8,JMJD1C,0.584
PHF8,NOTCH1,0.589
PHF8,CHD1,0.607
PHF8,KDM5A,0.621
PHF8,KDM4C,0.633
PHF8,TAF1,0.662
PHF8,KDM6A,0.672
PHF8,POLR2A,0.676
PHF8,KDM1A,0.713
PHF8,KDM3A,0.755
PHF8,ZNF711,0.827
PHF8,KMT2A,0.882
CBX1,CSNK2A1,0.638
CBX1,H3-3B,0.998
CBX1,NASP,0.424
CBX1,SRSF1,0.557
CBX1,DNMT3A,0.898
CBX1,POGZ,0.882
CBX1,SSRP1,0.406
CBX1,NIPBL,0.498
CBX1,KMT5B,0.748
CBX1,BPTF,0.509
CBX1,ZMYM3,0.534
CBX1,SMARCA4,0.62
CBX1,TRIM33,0.603
CBX1,XRCC6,0.628
CBX1,ZNF644,0.631
CBX1,SMARCA1,0.637
CBX1,ADNP,0.848
CBX1,ATRX,0.556
CBX1,AHDC1,0.625
CBX1,KDM2B,0.459
CBX1,CHD3,0.78
CBX1,ZMYND11,0.616
CBX1,SMARCA2,0.7
CBX1,TBL1XR1,0.421
CBX1,CUL4B,0.422
CBX1,KDM2A,0.427
CBX1,TBL1X,0.451
CBX1,KDM1A,0.513
CBX1,MBD1,0.518
CBX1,CHD1,0.603
CBX1,CHAMP1,0.789
CBX1,EMSY,0.966
CTNNB1,CDK13,0.506
CTNNB1,CSNK2A1,0.936
CTNNB1,AGO2,0.513
CTNNB1,SERPINE1,0.494
CTNNB1,CDH9,0.828
CTNNB1,IRF2BPL,0.426
CTNNB1,MSX2,0.54
CTNNB1,ACTN4,0.845
CTNNB1,PXDN,0.79
CTNNB1,GFAP,0.552
CTNNB1,H3-3B,0.837
CTNNB1,KDM6B,0.675
CTNNB1,FABP4,0.432
CTNNB1,SRSF1,0.515
CTNNB1,THBS1,0.516
CTNNB1,SLCO1B3,0.494
CTNNB1,YY1,0.498
CTNNB1,PKD1,0.799
CTNNB1,CREBBP,0.999
CTNNB1,SYP,0.507
CTNNB1,EP300,0.999
CTNNB1,KAT2B,0.767
CTNNB1,RAPGEF2,0.655
CTNNB1,CDH10,0.866
CTNNB1,HDAC4,0.606
CTNNB1,DNMT3A,0.506
CTNNB1,AHI1,0.54
CTNNB1,CDH11,0.993
CTNNB1,CDH13,0.858
CTNNB1,CDH2,0.999
CTNNB1,SLC6A3,0.488
CTNNB1,EPHA1,0.434
CTNNB1,USP15,0.755
CTNNB1,ANK3,0.486
CTNNB1,WNT1,0.973
CTNNB1,GRIA2,0.615
CTNNB1,NAA15,0.406
CTNNB1,RICTOR,0.401
CTNNB1,LEO1,0.691
CTNNB1,KMT2D,0.936
CTNNB1,NLGN2,0.499
CTNNB1,YWHAG,0.504
CTNNB1,CTNND2,0.751
CTNNB1,LEMD3,0.55
CTNNB1,ARHGAP32,0.568
CTNNB1,LEP,0.634
CTNNB1,PRKDC,0.427
CTNNB1,DVL3,0.887
CTNNB1,BACE1,0.505
CTNNB1,ARID1A,0.684
CTNNB1,ALDH1A3,0.407
CTNNB1,PTCH1,0.731
CTNNB1,PTPRB,0.967
CTNNB1,ARID2,0.529
CTNNB1,PDCD1,0.474
CTNNB1,FOXG1,0.74
CTNNB1,PLAUR,0.447
CTNNB1,HUWE1,0.716
CTNNB1,MEF2C,0.939
CTNNB1,SMAD4,0.998
CTNNB1,SMARCA4,0.998
CTNNB1,PRICKLE1,0.514
CTNNB1,DLG1,0.786
CTNNB1,NLGN4Y,0.498
CTNNB1,ANK2,0.765
CTNNB1,TRIM33,0.742
CTNNB1,NLGN3,0.513
CTNNB1,XRCC6,0.662
CTNNB1,TRRAP,0.964
CTNNB1,CUX1,0.656
CTNNB1,NTRK3,0.444
CTNNB1,IQGAP3,0.52
CTNNB1,MACF1,0.415
CTNNB1,SMURF1,0.554
CTNNB1,DRD2,0.506
CTNNB1,ILF2,0.501
CTNNB1,DLL1,0.762
CTNNB1,PRKN,0.49
CTNNB1,SYNE1,0.574
CTNNB1,PTGS2,0.768
CTNNB1,DHX9,0.709
CTNNB1,BTRC,0.999
CTNNB1,DPYD,0.531
CTNNB1,LZTS2,0.677
CTNNB1,GNAS,0.623
CTNNB1,ADNP,0.42
CTNNB1,PCDH11X,0.667
CTNNB1,PTPRT,0.599
CTNNB1,ATRX,0.404
CTNNB1,PCDH15,0.475
CTNNB1,CSNK2B,0.955
CTNNB1,HNRNPK,0.814
CTNNB1,ANXA1,0.624
CTNNB1,KDM6A,0.491
CTNNB1,DDX53,0.401
CTNNB1,RPS6KA3,0.435
CTNNB1,TEK,0.497
CTNNB1,NLGN4X,0.508
CTNNB1,CDK8,0.658
CTNNB1,EP400,0.578
CTNNB1,CDON,0.677
CTNNB1,IGF1,0.687
CTNNB1,GLI3,0.686
CTNNB1,YWHAZ,0.993
CTNNB1,SOX6,0.918
CTNNB1,HLA-A,0.511
CTNNB1,CSNK1E,0.647
CTNNB1,MED13,0.605
CTNNB1,TCF4,0.999
CTNNB1,CTNND1,0.999
CTNNB1,KDM1A,0.839
CTNNB1,EPHB2,0.666
CTNNB1,CUL4B,0.406
CTNNB1,CTNNA2,0.998
CTNNB1,XPO1,0.889
CTNNB1,NCOA1,0.698
CTNNB1,FOXP2,0.538
CTNNB1,MYO7A,0.445
CTNNB1,CTNNA3,0.998
CTNNB1,NLGN1,0.553
CTNNB1,FGFR1,0.947
CTNNB1,FGF13,0.593
CTNNB1,GRIK2,0.468
CTNNB1,SOX5,0.855
CTNNB1,SATB1,0.662
CTNNB1,SATB2,0.4
CTNNB1,MYOCD,0.598
CTNNB1,TBL1XR1,0.997
CTNNB1,FAT1,0.933
CTNNB1,TRIM32,0.449
CTNNB1,PRKCA,0.748
CTNNB1,DOCK4,0.496
CTNNB1,PTPRC,0.735
CTNNB1,PPP2R5C,0.586
CTNNB1,MUC4,0.467
CTNNB1,FHIT,0.811
CTNNB1,PTK7,0.603
CTNNB1,PIK3CG,0.4
CTNNB1,EIF4E,0.728
CTNNB1,UBR5,0.707
CTNNB1,KMT2A,0.671
CTNNB1,CDH22,0.883
CTNNB1,ATP1A1,0.47
CTNNB1,SMARCC2,0.503
CTNNB1,ITGB3,0.435
CTNNB1,TLE3,0.952
CTNNB1,TLN2,0.639
CTNNB1,WWOX,0.568
CTNNB1,CDH8,0.955
CTNNB1,PTPRS,0.564
CTNNB1,CSNK1G1,0.44
CTNNB1,GRIN2B,0.757
CTNNB1,KANK1,0.596
CTNNB1,FOXP1,0.496
CTNNB1,TRPC4,0.465
CTNNB1,TCF7L2,0.999
CTNNB1,ZEB2,0.693
CTNNB1,SPTAN1,0.54
CTNNB1,PTPN11,0.902
CTNNB1,ARID1B,0.441
CTNNB1,PAX6,0.602
CTNNB1,PRICKLE2,0.446
CTNNB1,CTCF,0.453
CTNNB1,CHD8,0.993
CTNNB1,LZTR1,0.517
CTNNB1,DLG4,0.538
CTNNB1,LDB1,0.918
CTNNB1,UBE3A,0.974
CTNNB1,NOTCH1,0.976
CTNNB1,TBL1X,0.998
KDM6A,SUPT16H,0.487
KDM6A,KATNAL2,0.406
KDM6A,GSE1,0.464
KDM6A,H3-3B,0.962
KDM6A,KDM6B,0.747
KDM6A,SNCAIP,0.431
KDM6A,YY1,0.573
KDM6A,CREBBP,0.811
KDM6A,EP300,0.902
KDM6A,KAT2B,0.443
KDM6A,HDAC4,0.452
KDM6A,DNMT3A,0.612
KDM6A,KAT6A,0.493
KDM6A,ASXL3,0.542
KDM6A,CBX4,0.534
KDM6A,NIPBL,0.501
KDM6A,KAT6B,0.456
KDM6A,RAD21,0.429
KDM6A,MAGEC3,0.49
KDM6A,LEO1,0.589
KDM6A,KMT2D,0.999
KDM6A,BPTF,0.509
KDM6A,KMT2E,0.674
KDM6A,ARID1A,0.675
KDM6A,ZMYM3,0.684
KDM6A,SMC1A,0.57
KDM6A,KDM3B,0.589
KDM6A,IKZF1,0.434
KDM6A,ARID2,0.547
KDM6A,MAOA,0.529
KDM6A,SMAD4,0.439
KDM6A,USP9Y,0.593
KDM6A,SMARCA4,0.848
KDM6A,SETDB2,0.525
KDM6A,SMC3,0.502
KDM6A,SMARCA1,0.559
KDM6A,ADNP,0.499
KDM6A,DYDC2,0.424
KDM6A,DYDC1,0.424
KDM6A,POLR3A,0.511
KDM6A,ATRX,0.637
KDM6A,HDAC8,0.506
KDM6A,KDM2B,0.703
KDM6A,TET3,0.405
KDM6A,CASK,0.41
KDM6A,HMGN1,0.422
KDM6A,SATB2,0.428
KDM6A,KANSL1,0.431
KDM6A,PDHA1,0.443
KDM6A,CTPS1,0.449
KDM6A,ARID1B,0.459
KDM6A,CHD8,0.46
KDM6A,SIN3A,0.471
KDM6A,CHD1,0.484
KDM6A,CHD7,0.491
KDM6A,PHF21A,0.501
KDM6A,SMARCA2,0.507
KDM6A,JMJD1C,0.511
KDM6A,HOXA1,0.522
KDM6A,RPL10,0.525
KDM6A,NOTCH1,0.527
KDM6A,CUL7,0.541
KDM6A,BCORL1,0.559
KDM6A,EP400,0.602
KDM6A,SETBP1,0.619
KDM6A,BIRC6,0.642
KDM6A,TET2,0.65
KDM6A,KDM2A,0.658
KDM6A,POLR2A,0.672
KDM6A,KDM3A,0.681
KDM6A,CTCF,0.721
KDM6A,KDM4C,0.761
KDM6A,KDM5A,0.768
KDM6A,SETD1B,0.773
KDM6A,ZFX,0.804
KDM6A,KDM1A,0.82
KDM6A,KMT2A,0.869
KMT2D,GSE1,0.458
KMT2D,H3-3B,0.829
KMT2D,KDM6B,0.768
KMT2D,THBS1,0.442
KMT2D,CREBBP,0.87
KMT2D,SRCAP,0.492
KMT2D,EP300,0.896
KMT2D,KAT2B,0.583
KMT2D,DNMT3A,0.542
KMT2D,KAT6A,0.634
KMT2D,ASXL3,0.435
KMT2D,NIPBL,0.45
KMT2D,CSMD3,0.526
KMT2D,ANKRD11,0.452
KMT2D,PAX5,0.404
KMT2D,H1-4,0.408
KMT2D,TBL1XR1,0.423
KMT2D,TNRC6B,0.431
KMT2D,AGO3,0.433
KMT2D,KDM2A,0.435
KMT2D,AGO4,0.441
KMT2D,DYNC1H1,0.455
KMT2D,CHD8,0.461
KMT2D,TNRC6C,0.469
KMT2D,PCLO,0.475
KMT2D,ATRX,0.481
KMT2D,KDM1A,0.488
KMT2D,ZFHX3,0.493
KMT2D,TAF1,0.503
KMT2D,HOXA1,0.505
KMT2D,CHD7,0.511
KMT2D,BTRC,0.524
KMT2D,SYNE1,0.524
KMT2D,ZFHX4,0.528
KMT2D,TLE3,0.542
KMT2D,KMT2E,0.547
KMT2D,TCF7L2,0.561
KMT2D,SMARCA4,0.566
KMT2D,SPEN,0.589
KMT2D,ZMYM3,0.6
KMT2D,CARD11,0.601
KMT2D,ARID1B,0.602
KMT2D,ARID2,0.608
KMT2D,TET2,0.612
KMT2D,NOTCH1,0.614
KMT2D,SIN3B,0.615
KMT2D,EP400,0.616
KMT2D,FAT1,0.652
KMT2D,CTCF,0.673
KMT2D,POLR2A,0.699
KMT2D,TRRAP,0.713
KMT2D,SIN3A,0.719
KMT2D,ARID1A,0.813
KMT2D,SETD1B,0.896
KMT2D,KMT2A,0.997
KDM2A,H3-3B,0.682
KDM2A,KDM6B,0.726
KDM2A,CREBBP,0.414
KDM2A,SRCAP,0.474
KDM2A,EP300,0.771
KDM2A,KAT6A,0.544
KDM2A,SSRP1,0.414
KDM2A,KMT5B,0.402
KDM2A,ARID1A,0.497
KDM2A,KDM3B,0.668
KDM2A,BTRC,0.534
KDM2A,ADNP,0.54
KDM2A,KDM4C,0.656
KDM2A,SMARCA2,0.405
KDM2A,EP400,0.472
KDM2A,JMJD1C,0.547
KDM2A,KDM5A,0.71
KDM2A,KDM1A,0.676
KDM2A,SETD5,0.511
KDM2A,KDM3A,0.611
KDM2A,KMT2A,0.435
KDM2A,MBD1,0.455
KDM2A,CHD8,0.465
KDM2A,SETD1B,0.545
KDM1A,CSNK2A1,0.649
KDM1A,GSE1,0.917
KDM1A,H3-3B,0.959
KDM1A,KDM6B,0.731
KDM1A,TERF2,0.488
KDM1A,YY1,0.473
KDM1A,CREBBP,0.446
KDM1A,EP300,0.899
KDM1A,KAT2B,0.758
KDM1A,HDAC4,0.707
KDM1A,DNMT3A,0.751
KDM1A,KAT6A,0.425
KDM1A,CBX4,0.607
KDM1A,XPC,0.902
KDM1A,KMT5B,0.458
KDM1A,MSL2,0.414
KDM1A,KMT2E,0.41
KDM1A,PRKDC,0.919
KDM1A,ZMYM3,0.908
KDM1A,KDM3B,0.598
KDM1A,IKZF1,0.492
KDM1A,SMAD4,0.682
KDM1A,SMARCA4,0.894
KDM1A,SETDB2,0.432
KDM1A,H4C11,0.589
KDM1A,FRYL,0.474
KDM1A,XRCC6,0.923
KDM1A,DHX9,0.427
KDM1A,SMARCA1,0.435
KDM1A,ADNP,0.536
KDM1A,HDAC8,0.647
KDM1A,KDM2B,0.662
KDM1A,H4C3,0.537
KDM1A,SIN3B,0.624
KDM1A,CHD3,0.941
KDM1A,KDM4C,0.924
KDM1A,EP400,0.409
KDM1A,SIN3A,0.948
KDM1A,BCKDK,0.444
KDM1A,YWHAZ,0.646
KDM1A,SOX6,0.5
KDM1A,JMJD1C,0.486
KDM1A,KDM5A,0.836
KDM1A,TET3,0.409
KDM1A,TBL1XR1,0.433
KDM1A,PDK2,0.438
KDM1A,NCOA1,0.448
KDM1A,TET2,0.49
KDM1A,SETD1B,0.529
KDM1A,H4C5,0.541
KDM1A,KMT2A,0.558
KDM1A,CTCF,0.57
KDM1A,PRKCB,0.626
KDM1A,ZMYND8,0.643
KDM1A,ZEB2,0.647
KDM1A,NOTCH1,0.675
KDM1A,CHD1,0.83
KDM1A,GTF2I,0.858
KDM1A,BCL11A,0.867
KDM1A,MBD3,0.868
KDM1A,KDM3A,0.9
KDM1A,ZMYM2,0.969
KDM1A,PHF21A,0.999
KDM3B,ACTL6B,0.651
KDM3B,FAM53C,0.545
KDM3B,H3-3B,0.437
KDM3B,KDM6B,0.554
KDM3B,CREBBP,0.558
KDM3B,EP300,0.434
KDM3B,TOP2B,0.463
KDM3B,RBM27,0.429
KDM3B,SCAF4,0.426
KDM3B,KMT2E,0.455
KDM3B,ARID1A,0.762
KDM3B,EP400,0.438
KDM3B,ADNP,0.439
KDM3B,SIN3A,0.442
KDM3B,KDM5A,0.56
KDM3B,CHD8,0.58
KDM3B,KDM4C,0.641
KDM3B,KDM2B,0.667
KDM3B,SMARCA2,0.683
KDM3B,ARID1B,0.718
KDM3B,SMARCC2,0.74
KDM3B,SMARCA4,0.745
KDM3B,KDM3A,0.922
KDM6B,SUPT16H,0.472
KDM6B,KATNAL2,0.424
KDM6B,H3-3B,0.963
KDM6B,CTCF,0.402
KDM6B,TRIP12,0.403
KDM6B,SIN3A,0.404
KDM6B,DSCAM,0.405
KDM6B,WDFY3,0.413
KDM6B,HMGN1,0.419
KDM6B,DYDC2,0.424
KDM6B,DYDC1,0.424
KDM6B,HDAC8,0.426
KDM6B,TET3,0.428
KDM6B,ANKRD11,0.439
KDM6B,SMARCA2,0.441
KDM6B,CREBBP,0.449
KDM6B,NIPBL,0.449
KDM6B,KAT6A,0.45
KDM6B,MED13L,0.452
KDM6B,ADNP,0.453
KDM6B,KAT2B,0.453
KDM6B,KMT5B,0.463
KDM6B,TET2,0.473
KDM6B,SSRP1,0.482
KDM6B,METTL14,0.488
KDM6B,POLR3A,0.514
KDM6B,RPL10,0.514
KDM6B,DNMT3A,0.528
KDM6B,CUL7,0.528
KDM6B,TNRC6B,0.535
KDM6B,AGO4,0.535
KDM6B,AGO3,0.536
KDM6B,LEO1,0.547
KDM6B,JMJD1C,0.555
KDM6B,SETDB2,0.563
KDM6B,BIRC6,0.589
KDM6B,NOTCH1,0.61
KDM6B,KMT2E,0.632
KDM6B,TNRC6C,0.636
KDM6B,HDAC4,0.644
KDM6B,SETD1B,0.646
KDM6B,SMAD4,0.648
KDM6B,KMT2A,0.656
KDM6B,CBX4,0.671
KDM6B,KDM4C,0.678
KDM6B,KDM5A,0.693
KDM6B,KDM2B,0.7
KDM6B,EP300,0.754
KDM6B,KDM3A,0.761
KDM6B,SMARCA4,0.935
H3-3B,ACTL6B,0.468
H3-3B,SUPT16H,0.886
H3-3B,EEF1A2,0.403
H3-3B,AGO2,0.704
H3-3B,PXDN,0.719
H3-3B,GFAP,0.516
H3-3B,PPP1R1B,0.513
H3-3B,IKZF1,0.401
H3-3B,NIPBL,0.403
H3-3B,SETBP1,0.404
H3-3B,NEDD4,0.405
H3-3B,CUX1,0.409
H3-3B,HNRNPU,0.412
H3-3B,FOXG1,0.416
H3-3B,IGF1,0.416
H3-3B,TOP2B,0.42
H3-3B,SMAD4,0.422
H3-3B,TBR1,0.425
H3-3B,CDK8,0.432
H3-3B,BCL11B,0.437
H3-3B,SRCAP,0.443
H3-3B,PTPRC,0.447
H3-3B,MARK2,0.453
H3-3B,KMT5B,0.458
H3-3B,CECR2,0.459
H3-3B,BAZ2B,0.46
H3-3B,MAOB,0.462
H3-3B,ZMYM3,0.466
H3-3B,HMGN1,0.474
H3-3B,AGTR2,0.479
H3-3B,EP400,0.481
H3-3B,MAOA,0.482
H3-3B,NCL,0.485
H3-3B,TAF1C,0.486
H3-3B,CDH2,0.488
H3-3B,RSF1,0.488
H3-3B,MSL3,0.49
H3-3B,PRKDC,0.491
H3-3B,HNRNPK,0.494
H3-3B,TAF6,0.499
H3-3B,TET3,0.505
H3-3B,NOTCH1,0.505
H3-3B,PHRF1,0.505
H3-3B,LARP1,0.511
H3-3B,RUNX1T1,0.517
H3-3B,H1-4,0.525
H3-3B,MCM6,0.526
H3-3B,TAF1,0.527
H3-3B,PAX6,0.532
H3-3B,FGFR1,0.534
H3-3B,TET2,0.534
H3-3B,HOXA1,0.542
H3-3B,TRRAP,0.546
H3-3B,PPM1D,0.549
H3-3B,THBS1,0.55
H3-3B,POT1,0.55
